[CPU 18:12] cores=12.9  1289.9% of 1 core  53.7% of 24-core  RSS=4.38 GB
[CPU 18:23] cores=14.4  1440.2% of 1 core  60% of 24-core  RSS=8.29 GB
[CPU 18:34] cores=1.04  103.7% of 1 core  4.3% of 24-core  RSS=4.09 GB
[CPU 18:45] cores=1.03  102.8% of 1 core  4.3% of 24-core  RSS=6.49 GB
[CPU 18:56] cores=1.04  103.7% of 1 core  4.3% of 24-core  RSS=6.48 GB
[CPU 19:07] cores=1.04  103.6% of 1 core  4.3% of 24-core  RSS=6.14 GB
[CPU 19:18] cores=1.04  103.8% of 1 core  4.3% of 24-core  RSS=6.12 GB
[CPU 19:29] cores=1.03  103.1% of 1 core  4.3% of 24-core  RSS=6.83 GB
[CPU 19:40] cores=1.03  103.2% of 1 core  4.3% of 24-core  RSS=7.51 GB
[CPU 19:51] cores=1.03  103.4% of 1 core  4.3% of 24-core  RSS=8.67 GB
[CPU 20:02] cores=1.03  102.8% of 1 core  4.3% of 24-core  RSS=5.41 GB
[CPU 20:13] cores=1.03  102.7% of 1 core  4.3% of 24-core  RSS=4.69 GB
[CPU 20:24] cores=1.03  102.6% of 1 core  4.3% of 24-core  RSS=4.36 GB
[CPU 20:35] cores=1.03  102.9% of 1 core  4.3% of 24-core  RSS=3.99 GB
[CPU 20:46] process exited during sample
