[CPU 01:26] cores=14.75  1474.9% of 1 core  61.5% of 24-core  RSS=1.12 GB
[CPU 01:37] cores=14.85  1485.1% of 1 core  61.9% of 24-core  RSS=8.91 GB
[CPU 01:48] cores=1.03  103.1% of 1 core  4.3% of 24-core  RSS=4.69 GB
[CPU 01:59] cores=1.03  103.4% of 1 core  4.3% of 24-core  RSS=6 GB
[CPU 02:10] cores=1.04  103.6% of 1 core  4.3% of 24-core  RSS=6 GB
[CPU 02:21] cores=1.03  103.5% of 1 core  4.3% of 24-core  RSS=6.7 GB
[CPU 02:32] cores=1.03  102.5% of 1 core  4.3% of 24-core  RSS=5.61 GB
[CPU 02:43] cores=1.03  103.1% of 1 core  4.3% of 24-core  RSS=6.74 GB
[CPU 02:54] cores=1.03  103% of 1 core  4.3% of 24-core  RSS=7.67 GB
[CPU 03:05] cores=1.03  103.2% of 1 core  4.3% of 24-core  RSS=7.87 GB
[CPU 03:16] cores=1.04  103.6% of 1 core  4.3% of 24-core  RSS=7.96 GB
[CPU 03:27] cores=1.03  103.3% of 1 core  4.3% of 24-core  RSS=8.01 GB
[CPU 03:38] cores=1.04  103.6% of 1 core  4.3% of 24-core  RSS=7.54 GB
[CPU 03:49] cores=1.03  102.8% of 1 core  4.3% of 24-core  RSS=7.49 GB
[CPU 04:00] cores=1  100.1% of 1 core  4.2% of 24-core  RSS=6.73 GB
[CPU 04:11] cores=1  99.6% of 1 core  4.2% of 24-core  RSS=7.24 GB
[CPU 04:22] cores=1.03  103.5% of 1 core  4.3% of 24-core  RSS=9.27 GB
[CPU 04:33] cores=1.03  103.4% of 1 core  4.3% of 24-core  RSS=8.2 GB
[CPU 04:44] cores=1.03  103.3% of 1 core  4.3% of 24-core  RSS=6.77 GB
[CPU 04:55] cores=1.03  102.9% of 1 core  4.3% of 24-core  RSS=8.24 GB
[CPU 05:06] cores=1.03  103.5% of 1 core  4.3% of 24-core  RSS=8.01 GB
[CPU 05:17] cores=1.03  103.1% of 1 core  4.3% of 24-core  RSS=9.15 GB
[CPU 05:28] cores=1.03  103.3% of 1 core  4.3% of 24-core  RSS=8.21 GB
[CPU 05:39] cores=1.03  103.5% of 1 core  4.3% of 24-core  RSS=8.94 GB
[CPU 05:50] cores=1.03  103.2% of 1 core  4.3% of 24-core  RSS=10.01 GB
[CPU 06:01] cores=1.03  102.6% of 1 core  4.3% of 24-core  RSS=9.34 GB
[CPU 06:12] cores=1.03  103.1% of 1 core  4.3% of 24-core  RSS=9.01 GB
[CPU 06:23] cores=1.04  103.8% of 1 core  4.3% of 24-core  RSS=10.09 GB
[CPU 06:34] cores=1.03  103.4% of 1 core  4.3% of 24-core  RSS=7.68 GB
[CPU 06:45] cores=1.04  104.1% of 1 core  4.3% of 24-core  RSS=9.36 GB
