[CPU 20:56] cores=15.19  1518.9% of 1 core  63.3% of 24-core  RSS=1.01 GB
[CPU 21:07] cores=1.02  101.8% of 1 core  4.2% of 24-core  RSS=3.58 GB
[CPU 21:18] cores=1.03  102.8% of 1 core  4.3% of 24-core  RSS=3.99 GB
[CPU 21:29] cores=1.03  103.1% of 1 core  4.3% of 24-core  RSS=4.29 GB
[CPU 21:40] cores=1.03  103.3% of 1 core  4.3% of 24-core  RSS=4.21 GB
[CPU 21:51] cores=1.03  103% of 1 core  4.3% of 24-core  RSS=4.89 GB
[CPU 22:02] cores=1.03  102.9% of 1 core  4.3% of 24-core  RSS=3.3 GB
[CPU 22:13] cores=1.03  103.4% of 1 core  4.3% of 24-core  RSS=4.05 GB
[CPU 22:24] cores=1.03  103% of 1 core  4.3% of 24-core  RSS=4.8 GB
[CPU 22:35] cores=1.03  102.9% of 1 core  4.3% of 24-core  RSS=5.08 GB
[CPU 22:46] cores=1.03  103.4% of 1 core  4.3% of 24-core  RSS=5.64 GB
[CPU 22:57] cores=1.04  103.8% of 1 core  4.3% of 24-core  RSS=4.81 GB
[CPU 23:08] cores=1.03  103.3% of 1 core  4.3% of 24-core  RSS=5.02 GB
[CPU 23:19] cores=1.04  103.7% of 1 core  4.3% of 24-core  RSS=4.27 GB
[CPU 23:30] cores=1.03  103.1% of 1 core  4.3% of 24-core  RSS=4.57 GB
[CPU 23:41] cores=1.03  102.9% of 1 core  4.3% of 24-core  RSS=5.69 GB
[CPU 23:52] cores=1.04  103.8% of 1 core  4.3% of 24-core  RSS=3.88 GB
[CPU 00:03] cores=1.03  102.9% of 1 core  4.3% of 24-core  RSS=2.37 GB
[CPU 00:14] cores=1.04  103.6% of 1 core  4.3% of 24-core  RSS=2.95 GB
[CPU 00:25] cores=1.04  103.5% of 1 core  4.3% of 24-core  RSS=6.64 GB
[CPU 00:36] cores=1.03  103.4% of 1 core  4.3% of 24-core  RSS=5.63 GB
[CPU 00:47] cores=1.03  103.3% of 1 core  4.3% of 24-core  RSS=5.37 GB
[CPU 00:58] cores=1.03  103.4% of 1 core  4.3% of 24-core  RSS=6.23 GB
[CPU 01:09] cores=1.03  103.2% of 1 core  4.3% of 24-core  RSS=5.39 GB
[CPU 01:20] cores=14.73  1473% of 1 core  61.4% of 24-core  RSS=9.57 GB
